Date,Open,High,Low,Close,Adj Close,Volume
2012-05-21,145.436356,148.727264,145.318176,147.418182,102.177544,2078284
2012-05-22,148.727264,149.745453,144.727264,145.609085,100.923607,2100421
2012-05-23,145.236359,146.445450,144.000000,144.672729,100.274628,1941725
2012-05-24,145.463638,149.981812,144.090912,149.072723,103.324310,2504545
2012-05-25,149.236359,149.963638,146.563629,148.345459,102.820244,2260141
2012-05-28,149.054550,152.018188,148.727264,151.736359,105.170502,1627306
2012-05-29,152.727264,153.363632,150.945450,152.536362,105.724998,1361590
2012-05-30,151.454544,152.309097,147.854538,148.545456,102.958847,1671097
2012-05-31,145.818176,145.818176,142.100006,142.600006,111.188477,2601021
2012-06-01,142.909088,144.627274,141.481812,142.127274,110.819893,2120590
2012-06-04,139.818176,144.509094,139.627274,143.690903,112.039085,2015177
2012-06-05,144.736359,146.000000,142.927277,143.681824,112.031998,2572289
2012-06-06,145.227264,147.236359,144.754547,146.745453,114.420799,2652594
2012-06-07,148.636368,152.136368,148.290909,150.899994,117.660187,3426031
2012-06-08,151.127274,151.818176,147.772720,150.727264,117.525497,1849440
2012-06-11,152.181824,154.181824,149.090912,150.090912,117.029327,1944926
2012-06-12,148.709091,152.909088,148.181824,152.509094,118.914825,2402190
2012-06-13,152.363632,155.899994,151.827271,154.381821,120.375038,2361677
2012-06-14,154.272720,154.336365,148.545456,148.981812,116.164520,2343835
2012-06-15,149.636368,155.245453,149.636368,153.618179,119.779617,2339616
2012-06-18,155.772720,157.254547,147.381821,148.490906,115.781761,3751401
2012-06-19,147.563629,150.699997,146.936356,150.254547,117.156898,2598936
2012-06-20,150.909088,152.545456,150.436356,151.509094,118.135101,1321951
2012-06-21,150.909088,155.272720,150.490906,154.645447,120.580582,2476313
2012-06-22,152.690903,155.427277,151.454544,154.918182,120.793243,2297244
2012-06-25,155.454544,158.263641,153.272720,154.063629,120.126945,2200158
2012-06-26,153.418182,154.709091,152.345459,153.718185,119.857582,1920016
2012-06-27,154.636368,156.718185,154.309097,154.990906,120.849953,1547133
2012-06-28,155.636368,157.272720,154.927277,155.727264,121.424110,1609459
2012-06-29,157.463638,164.490906,157.463638,163.563629,127.534294,4213774
2012-07-02,163.636368,164.181824,160.909088,162.536362,126.733322,2819228
